run,muinit,sigmainit,tau0,phibeta,kpmax,kpmin,kL,k_near,k_far,t_end_days,nframes,peak_slip_m,dc,peak_over_dc,r_dc_km,lambda,lam_over_obs,perm_file
632508,0.5,30.0,15.0,1.000e-10,1.1e-12,4e-13,1e-3,1.100e-12,4.000e-13,17.200,233,1.6104e-02,0.0001,161.037,0.4600,0.0178,0.126,perm_taiyi_601_ds20.txt
632499,0.37,30.0,11.1,1.000e-10,2.5e-13,1e-14,1e-3,2.500e-13,1.000e-14,17.200,140,1.5870e-02,0.0001,158.704,0.6570,0.0626,0.443,perm_twozone_601_ds9_2.5e-13_1e-14.txt
632526,0.37,30.0,11.1,2.250e-10,1.1e-12,1e-15,1e-3,1.100e-12,1.000e-15,8.000,187,1.3250e-02,0.0001,132.496,0.4700,0.1353,0.958,perm_2zone_601_ds5_kmax1.1e-12.txt
632491,0.52,30.0,15.6,1.580e-09,2.5e-13,1e-14,1e-3,2.500e-13,1.000e-14,17.200,129,1.3174e-02,0.0001,131.743,0.4500,0.0090,0.063,perm_twozone_601_ds9_2.5e-13_1e-14.txt
632493,0.37,30.0,11.1,2.250e-10,2.5e-13,1e-14,1e-3,2.500e-13,1.000e-14,17.200,121,1.1240e-02,0.0001,112.401,0.4410,0.0290,0.205,perm_twozone_601_ds9_2.5e-13_1e-14.txt
632498,0.42,30.0,12.6,5.000e-10,2.5e-13,1e-14,1e-3,2.500e-13,1.000e-14,17.200,122,1.0913e-02,0.0001,109.126,0.3870,0.0056,0.040,perm_twozone_601_ds9_2.5e-13_1e-14.txt
632490,0.45,30.0,13.5,1.580e-09,2.5e-13,1e-14,1e-3,2.500e-13,1.000e-14,17.200,114,7.9901e-03,0.0001,79.901,0.2610,,,perm_twozone_601_ds9_2.5e-13_1e-14.txt
632752,0.46,27.99,12.875,5.000e-12,5e-12,4e-13,1e-4,1.100e-12,4.000e-13,8.000,92,1.9821e-03,0.0001,19.821,0.1400,0.0592,0.419,perm_taiyi_601_ds20.txt
632504,0.5,30.0,15.0,1.000e-10,1.1e-12,4e-13,1e-3,1.100e-12,4.000e-13,1.000,18,8.8277e-04,0.0001,8.828,0.0100,,,perm_taiyi_601_ds5.txt
632489,0.37,30.0,11.1,1.580e-09,2.5e-13,1e-14,1e-3,2.500e-13,1.000e-14,17.200,111,5.5538e-04,0.0001,5.554,0.0180,,,perm_twozone_601_ds9_2.5e-13_1e-14.txt
632494,0.37,30.0,11.1,1.580e-09,2.5e-13,1e-14,1e-4,2.500e-13,1.000e-14,17.200,110,4.5263e-04,0.0001,4.526,0.0150,,,perm_twozone_401_2e-13_1e-14.txt
632751,0.46,27.99,12.875,5.000e-12,2e-11,4e-13,1e-4,1.100e-12,4.000e-13,8.000,91,1.6089e-04,0.0001,1.609,0.0000,,,perm_taiyi_601_ds20.txt
632585,0.46,27.99,12.875,2.000e-11,2e-11,4e-13,1e-4,1.100e-12,4.000e-13,8.000,86,9.7382e-05,0.0001,0.974,0.0000,,,perm_taiyi_601_ds20.txt
632623,0.42,27.99,11.756,1.000e-11,2e-11,4e-13,1e-4,1.100e-12,4.000e-13,8.000,96,8.3493e-05,0.0001,0.835,0.0000,,,perm_taiyi_601_ds20.txt
632589,0.46,27.99,12.875,5.000e-11,2e-11,4e-13,1e-4,1.100e-12,4.000e-13,8.000,89,5.9306e-05,0.0001,0.593,0.0000,,,perm_taiyi_601_ds20.txt
632573,0.42,27.99,11.756,2.000e-11,2e-11,4e-13,1e-4,1.100e-12,4.000e-13,8.000,99,4.9908e-05,0.0001,0.499,0.0000,,,perm_taiyi_601_ds20.txt
51808,0.4,30.0,12.0,1.000e-10,1.746e-13,6.350e-14,1e-3,1.746e-13,6.350e-14,30.660,104,4.5449e-05,0.0001,0.454,0.0000,,,het_perm11.dat
632619,0.37,27.99,10.356,5.000e-12,2e-11,4e-13,1e-4,1.100e-12,4.000e-13,8.000,100,4.4883e-05,0.0001,0.449,0.0000,,,perm_taiyi_601_ds20.txt
632551,0.37,27.99,10.356,1.000e-10,1.1e-12,4e-13,1e-3,1.100e-12,4.000e-13,17.200,196,4.3795e-05,0.0001,0.438,0.0000,,,perm_taiyi_601_ds20.txt
632548,0.37,27.99,10.356,1.000e-10,5e-12,4e-13,1e-3,1.100e-12,4.000e-13,17.200,192,3.8744e-05,0.0001,0.387,0.0000,,,perm_taiyi_601_ds20.txt
632593,0.46,27.99,12.875,1.000e-10,2e-11,4e-13,1e-4,1.100e-12,4.000e-13,8.000,90,3.7078e-05,0.0001,0.371,0.0000,,,perm_taiyi_601_ds20.txt
61808,0.4,30.0,12.0,1.000e-10,1.746e-13,6.350e-14,1e-3,1.746e-13,6.350e-14,30.660,103,3.4398e-05,0.0001,0.344,0.0000,,,het_perm11.dat
632549,0.37,27.99,10.356,1.000e-10,2e-11,4e-13,1e-3,1.100e-12,4.000e-13,17.200,197,2.9373e-05,0.0001,0.294,0.0000,,,perm_taiyi_601_ds20.txt
632653,0.37,27.99,10.356,1.000e-11,2e-11,1e-13,1e-5,1.100e-12,1.000e-13,8.000,110,2.1116e-05,0.0001,0.211,0.0000,,,perm_taiyi_601_ds20_kf1e-13.txt
632577,0.42,27.99,11.756,5.000e-11,2e-11,4e-13,1e-4,1.100e-12,4.000e-13,8.000,95,2.0796e-05,0.0001,0.208,0.0000,,,perm_taiyi_601_ds20.txt
632657,0.37,27.99,10.356,1.000e-11,2e-11,5e-14,1e-5,1.100e-12,5.000e-14,6.431,91,1.9880e-05,0.0001,0.199,0.0000,,,perm_taiyi_601_ds20_kf5e-14.txt
632611,0.37,27.99,10.356,1.000e-11,2e-11,4e-13,1e-4,1.100e-12,4.000e-13,8.000,99,1.9115e-05,0.0001,0.191,0.0000,,,perm_taiyi_601_ds20.txt
632675,0.37,27.99,10.356,1.000e-11,2e-11,1e-13,1e-5,1.100e-12,1.000e-13,4.026,77,1.8201e-05,0.0001,0.182,0.0000,,,perm_taiyi_601_ds20_kf1e-13.txt
632550,0.37,27.99,10.356,1.000e-10,1e-10,4e-13,1e-3,1.100e-12,4.000e-13,17.200,192,1.5910e-05,0.0001,0.159,0.0000,,,perm_taiyi_601_ds20.txt
632587,0.46,27.99,12.875,2.000e-11,1e-10,4e-13,1e-4,1.100e-12,4.000e-13,8.000,87,1.5897e-05,0.0001,0.159,0.0000,,,perm_taiyi_601_ds20.txt
632656,0.37,27.99,10.356,1.000e-10,2e-11,5e-14,1e-5,1.100e-12,5.000e-14,8.000,106,1.4413e-05,0.0001,0.144,0.0000,,,perm_taiyi_601_ds20_kf5e-14.txt
632575,0.42,27.99,11.756,2.000e-11,1e-10,4e-13,1e-4,1.100e-12,4.000e-13,8.000,93,1.1855e-05,0.0001,0.119,0.0000,,,perm_taiyi_601_ds20.txt
632554,0.37,27.99,10.356,1.000e-10,2e-11,4e-13,1e-4,1.100e-12,4.000e-13,17.200,191,1.1782e-05,0.0001,0.118,0.0000,,,perm_taiyi_601_ds20.txt
632753,0.46,27.99,12.875,5.000e-12,2e-11,4e-13,1e-5,1.100e-12,4.000e-13,30.000,204,1.1678e-05,0.0001,0.117,0.0000,,,perm_taiyi_601_ds20.txt
632591,0.46,27.99,12.875,5.000e-11,1e-10,4e-13,1e-4,1.100e-12,4.000e-13,8.000,83,1.1671e-05,0.0001,0.117,0.0000,,,perm_taiyi_601_ds20.txt
